Finding ID,Mitigation
000000,"This is an example, this works"
V-000000,So does this!
103569,
104743,
10882,
132101,
133000,
137141,
137630,
141116,
148223,
153953,
157288,
15901,
165676,
172179,
183167,
207786,
207824,
214822,
215070,
216341,
216623,
232301,
232658,
233201,
233369,
233872,
234325,
234582,
235086,
235482,
235616,
236813,
26928,
35291,
42873,
45411,
50686,
51192,
57582,
60108,
62694,
65821,
69551,
70658,
71049,
83875,
V-220701,
V-220703,
V-220753,
V-220756,
V-220872,
V-220904,
V-220921,
V-220954,
V-268315,
